tokeniser,family,approximate,n,mean_ratio,ci_low,ci_high,median_ratio,weighted_ratio
mistral,mistral,False,45,3.9347875581208913,3.7060869207952534,4.177484587942921,3.7777777777777777,3.893300248138958
gpt-4 cl100k_base,gpt,False,45,2.996957671957672,2.813859567901234,3.192110008818342,2.888888888888889,2.9843342036553526
qwen2.5,qwen,False,45,2.3991975308641975,2.2448392857142863,2.566281084656085,2.2857142857142856,2.391644908616188
bloom,bloom,False,45,1.6143907327240659,1.4935167147667148,1.744054894179894,1.5454545454545454,1.6091370558375635
gpt-4o o200k_base,gpt,False,45,1.4503880070546737,1.368861331569665,1.536341049382716,1.4444444444444444,1.4450261780104712
