tokeniser,family,ratio,english_cost,persian_cost,extra_cost,extra_pct
mistral,mistral,3.9347875581208913,3.0,11.804362674362674,8.804362674362674,293.4787558120891
gpt-4 cl100k_base,gpt,2.996957671957672,3.0,8.990873015873015,5.9908730158730155,199.6957671957672
qwen2.5,qwen,2.3991975308641975,3.0,7.197592592592592,4.197592592592592,139.91975308641975
bloom,bloom,1.614390732724066,3.0,4.843172198172198,1.8431721981721978,61.43907327240661
gpt-4o o200k_base,gpt,1.4503880070546735,3.0,4.351164021164021,1.3511640211640206,45.03880070546735
