tokeniser,family,ratio,window,effective_window,lost_tokens,lost_pct
mistral,mistral,3.9347875581208913,128000,32530.345821548763,95469.65417845124,74.58566732691503
gpt-4 cl100k_base,gpt,2.996957671957672,128000,42709.97925585912,85290.02074414087,66.63282870636007
qwen2.5,qwen,2.3991975308641975,128000,53351.1719453521,74648.82805464789,58.31939691769368
bloom,bloom,1.614390732724066,128000,79286.8773373205,48713.122662679496,38.05712708021836
gpt-4o o200k_base,gpt,1.4503880070546735,128000,88252.24655568662,39747.75344431338,31.052932378369825
